Timestamp,date,observer,site,box,action,equipment_name,hobo_position,readout,battery_status,memory_status,equipment_type,card_deployed,card_collected,battery_status,memory_status,
6/17/2021 8:02,6/17/2021,"KL, KG",RRR,RRRR3,collect,RRRR3-O,outside,completed,100,11,hobo,,,,,
6/17/2021 8:11,6/17/2021,"KL, KG",RRR,RRRR4,deploy,RRRR4-I,inside,NA,100,0,hobo,,,,,
6/17/2021 8:12,6/17/2021,"KL, KG",RRR,RRRR4,deploy,RRRR4-O,outside,NA,100,0,hobo,,,,,
6/17/2021 8:14,6/17/2021,KL KG DV,RRR,RRRR5,collect,RRRR5-I,inside,completed,100,9,hobo,,,,,
6/17/2021 8:15,6/17/2021,KL KG DV,RRR,RRRR5,collect,RRRR5-O,outside,completed,100,9,hobo,,,,,
6/17/2021 8:30,6/17/2021,KL KG DV,RRR,RRC15,deploy,RRC15-I,inside,NA,100,0,hobo,,,,,
6/17/2021 8:30,6/17/2021,KL KG DV,RRR,RRC15,deploy,RRC15-O,outside,NA,100,0,hobo,,,,,
6/18/2021 7:55,6/18/2021,"KL, KG",PIC,PICR9,collect,PICR9-O,outside,completed,100,9,hobo,,,,,
6/18/2021 7:55,6/18/2021,KL KG,PIC,PICR9,collect,cam2,,,,,camera,-,card 2,low,full,
6/18/2021 8:04,6/18/2021,KL KG,PIC,PICR10,deploy,cam7,,,,,camera,card 15,-,full,empty,
6/18/2021 8:44,6/18/2021,"KL, KG",PIC,PICG10,collect,PICG10-I,inside,completed,100,11,hobo,,,,,
6/18/2021 8:45,6/18/2021,"KL, KG",PIC,PICG10,collect,PICG10-O,outside,completed,100,11,hobo,,,,,
6/18/2021 8:46,6/18/2021,"KL, KG",PIC,PICG10,collect,cam4,,,,,camera,NA,card5,low,full,
